train dataset: torch.Size([3, 80, 80]) (x38400), 64
val dataset: torch.Size([3, 80, 80]) (x18748), 64
fs dataset: torch.Size([3, 80, 80]) (x12000), 20
num params: 8.7M
epoch 1, train 3.4867|0.1469, val 3.0747|0.2264, 1.2m 1.2m/2.1h
epoch 2, train 2.8788|0.2706, val 2.6325|0.3209, 1.2m 2.5m/2.1h
epoch 3, train 2.5127|0.3527, val 2.3355|0.3898, 1.2m 3.7m/2.1h
epoch 4, train 2.3060|0.4018, val 2.1622|0.4289, 1.2m 5.0m/2.1h
epoch 5, train 2.1368|0.4387, val 2.1972|0.4241, fs 1: 0.4500 5: 0.6302, 2.2m 7.2m/2.4h
epoch 6, train 2.0139|0.4676, val 1.8999|0.4958, 1.2m 8.4m/2.3h
epoch 7, train 1.9230|0.4911, val 1.9199|0.4799, 1.3m 9.7m/2.3h
epoch 8, train 1.8604|0.5049, val 1.8473|0.5067, 1.2m 10.9m/2.3h
epoch 9, train 1.8078|0.5215, val 1.7324|0.5344, 1.2m 12.2m/2.3h
epoch 10, train 1.7514|0.5314, val 1.7006|0.5494, fs 1: 0.4887 5: 0.6774, 2.2m 14.4m/2.4h
epoch 11, train 1.7207|0.5381, val 1.6592|0.5493, 1.2m 15.7m/2.4h
epoch 12, train 1.6800|0.5519, val 1.9063|0.4943, 1.3m 16.9m/2.3h
epoch 13, train 1.6351|0.5620, val 1.5335|0.5842, 1.2m 18.2m/2.3h
epoch 14, train 1.6152|0.5656, val 1.7113|0.5466, 1.3m 19.4m/2.3h
epoch 15, train 1.5978|0.5718, val 1.7242|0.5421, fs 1: 0.4690 5: 0.6787, 2.2m 21.7m/2.4h
epoch 16, train 1.5788|0.5749, val 1.8050|0.5304, 1.3m 22.9m/2.4h
epoch 17, train 1.5608|0.5786, val 1.4928|0.5964, 1.3m 24.2m/2.4h
epoch 18, train 1.5302|0.5893, val 1.6076|0.5676, 1.3m 25.4m/2.4h
epoch 19, train 1.5119|0.5932, val 1.4996|0.5919, 1.3m 26.7m/2.3h
epoch 20, train 1.5004|0.5947, val 1.4685|0.5992, fs 1: 0.5099 5: 0.7118, 2.2m 28.9m/2.4h
epoch 21, train 1.4875|0.5959, val 1.4684|0.6042, 1.3m 30.2m/2.4h
epoch 22, train 1.4852|0.5986, val 1.4618|0.5986, 1.2m 31.4m/2.4h
epoch 23, train 1.4589|0.6047, val 1.4147|0.6140, 1.3m 32.7m/2.4h
epoch 24, train 1.4418|0.6085, val 1.5552|0.5840, 1.3m 33.9m/2.4h
epoch 25, train 1.4501|0.6083, val 1.4558|0.6024, fs 1: 0.4910 5: 0.7033, 2.2m 36.2m/2.4h
epoch 26, train 1.4294|0.6114, val 1.4305|0.6158, 1.3m 37.4m/2.4h
epoch 27, train 1.4261|0.6143, val 1.5569|0.5852, 1.3m 38.7m/2.4h
epoch 28, train 1.4169|0.6136, val 1.5407|0.5897, 1.2m 39.9m/2.4h
epoch 29, train 1.3968|0.6209, val 1.3350|0.6360, 1.2m 41.2m/2.4h
epoch 30, train 1.3988|0.6197, val 1.5309|0.5845, fs 1: 0.5049 5: 0.7076, 2.2m 43.4m/2.4h
epoch 31, train 1.3822|0.6233, val 1.4106|0.6151, 1.3m 44.7m/2.4h
epoch 32, train 1.3827|0.6258, val 1.4147|0.6217, 1.3m 45.9m/2.4h
