train dataset: torch.Size([3, 80, 80]) (x38400), 64
tval dataset: torch.Size([3, 80, 80]) (x12000), 20
val dataset: torch.Size([3, 80, 80]) (x9600), 16
num params: 8.2M
epoch 1, train 0.7973|0.9081, tval 1.5530|0.7958, val 1.6831|0.7850, 2.7m 2.7m/53.2m (@7)
epoch 2, train 0.5479|0.9209, tval 1.3861|0.7958, val 1.4990|0.7845, 2.7m 5.3m/53.2m (@7)
epoch 3, train 0.4724|0.9235, tval 1.2235|0.7952, val 1.3145|0.7852, 2.7m 8.0m/53.2m (@7)
epoch 4, train 0.3839|0.9285, tval 1.1032|0.7972, val 1.1907|0.7860, 2.7m 10.7m/53.3m (@7)
epoch 5, train 0.3308|0.9327, tval 1.0414|0.7989, val 1.1313|0.7875, 2.7m 13.3m/53.3m (@7)
epoch 6, train 0.2998|0.9345, tval 0.9614|0.8003, val 1.0382|0.7889, 2.7m 16.0m/53.3m (@7)
epoch 7, train 0.2667|0.9372, tval 0.9262|0.7969, val 1.0000|0.7839, 2.7m 18.7m/53.3m (@7)
epoch 8, train 0.2471|0.9383, tval 0.8852|0.7970, val 0.9539|0.7837, 2.7m 21.3m/53.3m (@7)
epoch 9, train 0.2225|0.9412, tval 0.8493|0.7975, val 0.9183|0.7862, 2.7m 24.0m/53.4m (@7)
epoch 10, train 0.2050|0.9441, tval 0.8087|0.7991, val 0.8833|0.7859, 2.7m 26.7m/53.4m (@7)
epoch 11, train 0.1943|0.9456, tval 0.7951|0.7972, val 0.8490|0.7858, 2.7m 29.4m/53.4m (@7)
epoch 12, train 0.1786|0.9478, tval 0.7681|0.7956, val 0.8164|0.7851, 2.7m 32.0m/53.4m (@7)
epoch 13, train 0.1697|0.9489, tval 0.7404|0.7964, val 0.7949|0.7861, 2.7m 34.7m/53.4m (@7)
epoch 14, train 0.1754|0.9463, tval 0.7214|0.7997, val 0.7848|0.7864, 2.7m 37.4m/53.4m (@7)
epoch 15, train 0.1567|0.9509, tval 0.6929|0.7986, val 0.7513|0.7832, 2.7m 40.1m/53.4m (@7)
epoch 16, train 0.1461|0.9532, tval 0.6850|0.7982, val 0.7381|0.7867, 2.7m 42.7m/53.4m (@7)
epoch 17, train 0.1435|0.9532, tval 0.6727|0.7973, val 0.7202|0.7859, 2.7m 45.4m/53.5m (@7)
epoch 18, train 0.1376|0.9552, tval 0.6567|0.7992, val 0.7044|0.7868, 2.7m 48.1m/53.5m (@7)
epoch 19, train 0.1369|0.9536, tval 0.6539|0.7976, val 0.7010|0.7851, 2.7m 50.8m/53.5m (@7)
epoch 20, train 0.1247|0.9561, tval 0.6451|0.8012, val 0.6868|0.7901, 2.7m 53.5m/53.5m (@7)
